"id";"max_difference";"time_difference_seconds";"rounds_to_converge";"recorded_at"
10;4;86;6;"2026-03-09 10:42:40"
11;-3;90;3;"2026-03-09 10:45:31"
12;1;9;1;"2026-03-09 10:47:00"
13;2;30;2;"2026-03-09 10:49:58"
14;-1;17;1;"2026-03-09 10:51:57"
15;-3;87;3;"2026-03-09 10:55:35"
16;-1;32;1;"2026-03-09 10:57:32"
17;-8;668;26;"2026-03-09 11:13:47"
18;-1;20;1;"2026-03-09 11:15:34"
19;1;15;1;"2026-03-09 11:18:04"
20;15;1315;73;"2026-03-09 12:06:36"
21;-7;477;19;"2026-03-09 12:16:43"
22;2;63;4;"2026-03-09 12:19:36"
23;-2;126;2;"2026-03-09 12:23:34"
24;-2;41;2;"2026-03-09 12:26:17"
25;-20;1219;48;"2026-03-09 13:07:44"
