"id";"max_diff_value";"duration_seconds";"rounds_count";"ended_at"
1;3;21;1;"2026-03-09 10:41:14"
2;1;36;1;"2026-03-09 10:49:27"
3;-1;9;1;"2026-03-09 10:53:50"
4;-2;16;1;"2026-03-09 10:54:07"
5;-1;10;1;"2026-03-09 11:00:26"
6;-2;10;1;"2026-03-09 11:00:37"
7;-3;11;1;"2026-03-09 11:00:48"
8;-4;15;1;"2026-03-09 11:01:03"
9;-5;71;5;"2026-03-09 11:02:14"
10;-6;9;1;"2026-03-09 11:02:23"
11;-7;15;1;"2026-03-09 11:02:38"
12;1;39;1;"2026-03-09 11:20:12"
13;2;36;1;"2026-03-09 11:20:48"
14;3;61;3;"2026-03-09 11:21:50"
15;4;128;5;"2026-03-09 11:23:59"
16;5;42;1;"2026-03-09 11:24:41"
17;6;278;13;"2026-03-09 11:29:19"
18;7;20;1;"2026-03-09 11:29:40"
19;8;135;7;"2026-03-09 11:31:56"
20;9;147;7;"2026-03-09 11:34:24"
21;10;41;1;"2026-03-09 11:35:06"
22;11;37;1;"2026-03-09 11:35:43"
23;12;40;1;"2026-03-09 11:36:23"
24;13;475;23;"2026-03-09 11:44:18"
25;14;23;1;"2026-03-09 11:44:41"
26;-3;11;1;"2026-03-09 12:08:03"
27;-4;17;1;"2026-03-09 12:08:20"
28;-5;11;1;"2026-03-09 12:08:32"
29;-6;13;1;"2026-03-09 12:08:45"
30;1;19;1;"2026-03-09 12:18:33"
31;-1;12;1;"2026-03-09 12:21:27"
32;-1;12;1;"2026-03-09 12:25:36"
33;-1;10;1;"2026-03-09 12:27:47"
34;-2;45;3;"2026-03-09 12:28:33"
35;-3;53;3;"2026-03-09 12:29:27"
36;-4;13;1;"2026-03-09 12:29:40"
37;-5;107;5;"2026-03-09 12:31:28"
38;-6;13;1;"2026-03-09 12:31:41"
39;-7;9;1;"2026-03-09 12:31:51"
40;-8;11;1;"2026-03-09 12:32:03"
41;-9;8;1;"2026-03-09 12:32:12"
42;-10;78;5;"2026-03-09 12:33:30"
43;-11;16;1;"2026-03-09 12:33:47"
44;-12;70;3;"2026-03-09 12:34:58"
45;-13;9;1;"2026-03-09 12:35:08"
46;-14;9;1;"2026-03-09 12:35:17"
47;-15;665;33;"2026-03-09 12:46:23"
48;-16;16;1;"2026-03-09 12:46:40"
49;-17;17;1;"2026-03-09 12:46:57"
50;-18;16;1;"2026-03-09 12:47:14"
51;-19;11;1;"2026-03-09 12:47:25"
52;-5;11;1;"2026-03-09 13:08:54"
53;-6;14;1;"2026-03-09 13:09:09"
54;-7;56;3;"2026-03-09 13:10:05"
55;-8;60;3;"2026-03-09 13:11:05"
56;-9;9;1;"2026-03-09 13:11:15"
57;-10;15;1;"2026-03-09 13:11:30"
58;-11;12;1;"2026-03-09 13:11:42"
