"pattern_string";"pattern_length";"occurrence_count"
"000";3;13
"0000";4;5
"00000";5;2
"00001";5;2
"00002";5;1
"0001";4;5
"00010";5;3
"00011";5;2
"0002";4;3
"00020";5;1
"00021";5;2
"001";3;11
"0010";4;6
"00100";5;4
"00101";5;1
"00102";5;1
"0011";4;5
"00110";5;2
"00111";5;2
"002";3;3
"0020";4;1
"00200";5;1
"0021";4;2
"00211";5;1
"00212";5;1
"010";3;9
"0100";4;5
"01000";5;1
"01001";5;4
"0101";4;2
"01011";5;2
"0102";4;2
"01021";5;2
"011";3;8
"0110";4;4
"01100";5;2
"01101";5;2
"0111";4;3
"01110";5;1
"01112";5;2
"020";3;2
"0200";4;2
"02000";5;2
"021";3;4
"0210";4;1
"02102";5;1
"0211";4;2
"02111";5;1
"02112";5;1
"0212";4;1
"02120";5;1
"100";3;10
"1000";4;5
"10000";5;2
"10001";5;1
"10002";5;2
"1001";4;5
"10010";5;3
"10011";5;2
"101";3;6
"1010";4;3
"10100";5;1
"10101";5;1
"10102";5;1
"1011";4;3
"10110";5;2
"10111";5;1
"102";3;3
"1020";4;1
"10200";5;1
"1021";4;2
"10210";5;1
"10211";5;1
"110";3;6
"1100";4;3
"11000";5;3
"1101";4;3
"11010";5;2
"11011";5;1
"111";3;4
"1110";4;2
"11100";5;1
"11101";5;1
"1112";4;2
"11120";5;1
"11121";5;1
"112";3;3
"1120";4;1
"11200";5;1
"1121";4;1
"11210";5;1
"1122";4;1
"11221";5;1
"120";3;2
"1200";4;2
"12000";5;1
"12001";5;1
"121";3;1
"1210";4;1
"12100";5;1
"122";3;1
"1221";4;1
"12210";5;1
"200";3;4
"2000";4;3
"20000";5;1
"20001";5;2
"2001";4;1
"20011";5;1
"210";3;3
"2100";4;2
"21000";5;1
"21001";5;1
"2102";4;1
"21020";5;1
"211";3;2
"2111";4;1
"21110";5;1
"2112";4;1
"21122";5;1
"212";3;1
"2120";4;1
"21200";5;1
"221";3;1
"2210";4;1
"22100";5;1
