"pattern_string";"pattern_length";"occurrence_count"
"000";3;73
"0000";4;44
"00000";5;27
"00001";5;13
"00002";5;4
"0001";4;21
"00010";5;10
"00011";5;7
"00012";5;4
"0002";4;8
"00020";5;3
"00021";5;5
"001";3;41
"0010";4;20
"00100";5;12
"00101";5;8
"0011";4;14
"00110";5;8
"00111";5;6
"0012";4;7
"00120";5;4
"00121";5;3
"002";3;14
"0020";4;6
"00200";5;3
"00201";5;3
"0021";4;8
"00210";5;5
"00211";5;3
"010";3;42
"0100";4;23
"01000";5;13
"01001";5;6
"01002";5;3
"0101";4;15
"01010";5;9
"01011";5;4
"01012";5;2
"0102";4;4
"01021";5;1
"01022";5;3
"011";3;31
"0110";4;15
"01100";5;4
"01101";5;9
"01102";5;2
"0111";4;15
"01110";5;8
"01111";5;5
"01112";5;2
"0112";4;1
"01121";5;1
"012";3;13
"0120";4;6
"01200";5;4
"01201";5;2
"0121";4;6
"01210";5;3
"01211";5;2
"01212";5;1
"0122";4;1
"01220";5;1
"020";3;11
"0200";4;5
"02000";5;2
"02001";5;1
"02002";5;2
"0201";4;5
"02010";5;1
"02011";5;2
"02012";5;2
"0202";4;1
"02022";5;1
"021";3;10
"0210";4;5
"02100";5;2
"02101";5;3
"0211";4;4
"02110";5;2
"02111";5;2
"0212";4;1
"02120";5;1
"022";3;4
"0220";4;1
"02201";5;1
"0221";4;2
"02211";5;2
"0222";4;1
"02221";5;1
"100";3;44
"1000";4;23
"10000";5;14
"10001";5;6
"10002";5;3
"1001";4;17
"10010";5;8
"10011";5;6
"10012";5;3
"1002";4;3
"10020";5;2
"10021";5;1
"101";3;35
"1010";4;18
"10100";5;9
"10101";5;5
"10102";5;4
"1011";4;13
"10110";5;5
"10111";5;7
"10112";5;1
"1012";4;4
"10120";5;2
"10121";5;2
"102";3;10
"1020";4;5
"10200";5;2
"10201";5;2
"10202";5;1
"1021";4;2
"10211";5;1
"10212";5;1
"1022";4;3
"10220";5;1
"10221";5;1
"10222";5;1
"110";3;36
"1100";4;17
"11000";5;8
"11001";5;9
"1101";4;13
"11010";5;5
"11011";5;6
"11012";5;2
"1102";4;6
"11020";5;5
"11021";5;1
"111";3;29
"1110";4;16
"11100";5;12
"11101";5;3
"11102";5;1
"1111";4;10
"11110";5;5
"11111";5;4
"11112";5;1
"1112";4;3
"11120";5;1
"11121";5;2
"112";3;4
"1120";4;1
"11201";5;1
"1121";4;3
"11210";5;2
"11212";5;1
"120";3;9
"1200";4;6
"12000";5;3
"12001";5;2
"12002";5;1
"1201";4;3
"12010";5;2
"12011";5;1
"121";3;9
"1210";4;5
"12100";5;2
"12101";5;3
"1211";4;2
"12110";5;1
"12111";5;1
"1212";4;2
"12120";5;1
"12122";5;1
"122";3;2
"1220";4;2
"12200";5;1
"12201";5;1
"200";3;12
"2000";4;6
"20000";5;3
"20001";5;2
"20002";5;1
"2001";4;3
"20010";5;2
"20011";5;1
"2002";4;3
"20020";5;1
"20021";5;2
"201";3;10
"2010";4;4
"20100";5;2
"20101";5;2
"2011";4;4
"20110";5;2
"20111";5;2
"2012";4;2
"20121";5;1
"20122";5;1
"202";3;1
"2022";4;1
"20221";5;1
"210";3;11
"2100";4;4
"21000";5;2
"21001";5;2
"2101";4;7
"21010";5;4
"21011";5;3
"211";3;8
"2110";4;4
"21100";5;1
"21102";5;3
"2111";4;4
"21110";5;3
"21111";5;1
"212";3;3
"2120";4;2
"21200";5;2
"2122";4;1
"21220";5;1
"220";3;3
"2200";4;1
"22000";5;1
"2201";4;2
"22010";5;1
"22011";5;1
"221";3;3
"2210";4;1
"22101";5;1
"2211";4;2
"22110";5;1
"22111";5;1
"222";3;1
"2221";4;1
"22210";5;1
