"pattern_string";"pattern_length";"occurrence_count"
"000";3;401
"0000";4;205
"00000";5;108
"00001";5;78
"00002";5;19
"0001";4;153
"00010";5;84
"00011";5;56
"00012";5;13
"0002";4;43
"00020";5;22
"00021";5;19
"00022";5;2
"001";3;304
"0010";4;155
"00100";5;94
"00101";5;50
"00102";5;11
"0011";4;122
"00110";5;67
"00111";5;43
"00112";5;11
"0012";4;27
"00120";5;13
"00121";5;14
"002";3;78
"0020";4;40
"00200";5;21
"00201";5;14
"00202";5;4
"0021";4;31
"00210";5;11
"00211";5;18
"00212";5;2
"0022";4;7
"00220";5;2
"00221";5;4
"00222";5;1
"010";3;283
"0100";4;158
"01000";5;89
"01001";5;55
"01002";5;13
"0101";4;101
"01010";5;55
"01011";5;38
"01012";5;7
"0102";4;24
"01020";5;9
"01021";5;11
"01022";5;4
"011";3;238
"0110";4;124
"01100";5;61
"01101";5;51
"01102";5;11
"0111";4;91
"01110";5;46
"01111";5;35
"01112";5;10
"0112";4;22
"01120";5;8
"01121";5;11
"01122";5;3
"012";3;49
"0120";4;18
"01200";5;7
"01201";5;10
"01202";5;1
"0121";4;27
"01210";5;13
"01211";5;11
"01212";5;3
"0122";4;4
"01220";5;1
"01221";5;2
"01222";5;1
"020";3;75
"0200";4;40
"02000";5;19
"02001";5;18
"02002";5;3
"0201";4;25
"02010";5;7
"02011";5;15
"02012";5;3
"0202";4;9
"02020";5;3
"02021";5;4
"02022";5;2
"021";3;56
"0210";4;21
"02100";5;11
"02101";5;8
"02102";5;2
"0211";4;31
"02110";5;15
"02111";5;13
"02112";5;3
"0212";4;4
"02120";5;2
"02121";5;1
"02122";5;1
"022";3;14
"0220";4;5
"02200";5;2
"02201";5;3
"0221";4;7
"02210";5;3
"02211";5;3
"02212";5;1
"0222";4;2
"02220";5;1
"02221";5;1
"100";3;314
"1000";4;164
"10000";5;81
"10001";5;66
"10002";5;17
"1001";4;120
"10010";5;52
"10011";5;57
"10012";5;11
"1002";4;29
"10020";5;15
"10021";5;10
"10022";5;4
"101";3;218
"1010";4;109
"10100";5;53
"10101";5;45
"10102";5;11
"1011";4;91
"10110";5;47
"10111";5;37
"10112";5;7
"1012";4;17
"10120";5;5
"10121";5;10
"10122";5;2
"102";3;56
"1020";4;31
"10200";5;18
"10201";5;8
"10202";5;5
"1021";4;20
"10210";5;9
"10211";5;10
"10212";5;1
"1022";4;5
"10220";5;3
"10221";5;1
"10222";5;1
"110";3;249
"1100";4;128
"11000";5;63
"11001";5;51
"11002";5;14
"1101";4;92
"11010";5;39
"11011";5;45
"11012";5;8
"1102";4;28
"11020";5;20
"11021";5;7
"11022";5;1
"111";3;185
"1110";4;97
"11100";5;56
"11101";5;30
"11102";5;11
"1111";4;73
"11110";5;40
"11111";5;31
"11112";5;2
"1112";4;15
"11120";5;9
"11121";5;6
"112";3;41
"1120";4;18
"11200";5;10
"11201";5;7
"11202";5;1
"1121";4;19
"11210";5;10
"11211";5;5
"11212";5;4
"1122";4;4
"11220";5;1
"11221";5;2
"11222";5;1
"120";3;41
"1200";4;22
"12000";5;7
"12001";5;12
"12002";5;3
"1201";4;17
"12010";5;7
"12011";5;8
"12012";5;2
"1202";4;2
"12020";5;1
"12021";5;1
"121";3;52
"1210";4;28
"12100";5;12
"12101";5;15
"12102";5;1
"1211";4;16
"12110";5;9
"12111";5;6
"12112";5;1
"1212";4;8
"12120";5;3
"12121";5;3
"12122";5;2
"122";3;11
"1220";4;4
"12200";5;2
"12201";5;2
"1221";4;5
"12210";5;3
"12211";5;1
"12212";5;1
"1222";4;2
"12220";5;1
"12222";5;1
"200";3;69
"2000";4;32
"20000";5;16
"20001";5;9
"20002";5;7
"2001";4;31
"20010";5;19
"20011";5;9
"20012";5;3
"2002";4;6
"20020";5;3
"20021";5;2
"20022";5;1
"201";3;48
"2010";4;18
"20100";5;10
"20101";5;6
"20102";5;2
"2011";4;25
"20110";5;10
"20111";5;11
"20112";5;4
"2012";4;5
"20121";5;3
"20122";5;2
"202";3;11
"2020";4;4
"20200";5;1
"20201";5;3
"2021";4;5
"20210";5;1
"20211";5;3
"20212";5;1
"2022";4;2
"20221";5;2
"210";3;56
"2100";4;28
"21000";5;12
"21001";5;14
"21002";5;2
"2101";4;24
"21010";5;14
"21011";5;8
"21012";5;2
"2102";4;4
"21020";5;2
"21021";5;2
"211";3;51
"2110";4;27
"21100";5;11
"21101";5;10
"21102";5;6
"2111";4;20
"21110";5;11
"21111";5;6
"21112";5;3
"2112";4;4
"21120";5;1
"21121";5;2
"21122";5;1
"212";3;14
"2120";4;5
"21200";5;5
"2121";4;6
"21210";5;5
"21212";5;1
"2122";4;3
"21220";5;2
"21221";5;1
"220";3;12
"2200";4;6
"22000";5;5
"22001";5;1
"2201";4;6
"22010";5;4
"22011";5;2
"221";3;13
"2210";4;7
"22100";5;5
"22101";5;1
"22102";5;1
"2211";4;4
"22110";5;3
"22111";5;1
"2212";4;2
"22121";5;2
"222";3;5
"2220";4;3
"22200";5;2
"22201";5;1
"2221";4;1
"22210";5;1
"2222";4;1
"22220";5;1
